client_id,first_name,last_name,email,passport_id,registration_date,status,age,gender,income_level,last_active_date,community_id,transaction_frequency
client_1,James,Wilson,client1@ex.com,AB0001123,2023-07-14,active,29,male,medium,2025-04-12,1,low
client_2,Maria,Garcia,client2@ex.com,AB0002123,2024-05-23,active,24,female,low,2025-04-05,1,low
client_3,Sophia,Johnson,client3@ex.com,AB0003123,2024-11-30,active,32,female,medium,2025-03-28,1,low
client_4,Ethan,Brown,client4@ex.com,AB0004123,2024-04-17,active,27,male,medium,2025-03-15,1,low
client_5,Emma,Davis,client5@ex.com,AB0005123,2023-02-08,active,22,female,low,2025-04-22,1,medium
client_6,Noah,Miller,client6@ex.com,AB0006123,2023-09-19,active,33,male,high,2025-02-25,1,low
client_7,Olivia,Martinez,client7@ex.com,AB0007123,2024-07-01,active,25,female,medium,2025-03-09,1,low
client_8,William,Anderson,client8@ex.com,AB0008123,2023-11-12,active,30,male,medium,2025-04-30,1,low
client_9,Ava,Taylor,client9@ex.com,AB0009123,2024-01-25,active,28,female,medium,2025-03-20,1,medium
client_10,Liam,Thomas,client10@ex.com,AB0010123,2023-06-04,active,34,male,low,2025-02-15,1,low
client_11,Isabella,Hernandez,client11@ex.com,AB0011123,2024-08-15,active,21,female,low,2025-04-08,1,low
client_12,Mason,Moore,client12@ex.com,AB0012123,2023-12-07,active,31,male,medium,2025-03-05,1,low
client_13,Charlotte,Martin,client13@ex.com,AB0013123,2024-02-19,active,26,female,medium,2025-02-28,1,medium
client_14,Lucas,Jackson,client14@ex.com,AB0014123,2023-04-30,active,29,male,high,2025-04-17,1,low
client_15,Amelia,Thompson,client15@ex.com,AB0015123,2024-09-11,active,23,female,medium,2025-03-12,1,low
client_16,Alexander,White,client16@ex.com,AB0016123,2023-08-22,active,35,male,medium,2025-02-20,1,low
client_17,Mia,Lopez,client17@ex.com,AB0017123,2024-03-04,active,27,female,low,2025-04-25,1,low
client_18,Elijah,Lee,client18@ex.com,AB0018123,2023-10-15,active,32,male,medium,2025-03-18,1,medium
client_19,Harper,Gonzalez,client19@ex.com,AB0019123,2024-06-27,active,24,female,medium,2025-02-10,1,low
client_20,Benjamin,Harris,client20@ex.com,AB0020123,2023-01-09,active,30,male,high,2025-04-01,1,low
client_21,Evelyn,Clark,client21@ex.com,AB0021123,2024-10-20,active,28,female,low,2025-03-25,1,low
client_22,Daniel,Lewis,client22@ex.com,AB0022123,2023-05-13,active,33,male,medium,2025-02-18,1,low
client_23,Abigail,Robinson,client23@ex.com,AB0023123,2024-07-25,active,22,female,medium,2025-04-15,1,medium
client_24,Matthew,Walker,client24@ex.com,AB0024123,2023-11-06,active,31,male,low,2025-03-08,1,low
client_25,Emily,Perez,client25@ex.com,AB0025123,2024-01-18,active,26,female,medium,2025-02-01,1,low
client_26,Henry,Hall,client26@ex.com,AB0026123,2023-03-29,active,34,male,medium,2025-04-28,1,low
client_27,Elizabeth,Young,client27@ex.com,AB0027123,2024-08-10,active,25,female,high,2025-03-21,1,medium
client_28,Michael,Allen,client28@ex.com,AB0028123,2023-09-01,active,29,male,medium,2025-02-14,1,low
client_29,Camila,Sanchez,client29@ex.com,AB0029123,2024-04-12,active,23,female,low,2025-04-07,1,low
client_30,Jackson,Wright,client30@ex.com,AB0030123,2023-07-23,active,32,male,medium,2025-03-01,1,low
client_31,Sofia,King,client31@ex.com,AB0031123,2024-11-04,active,27,female,medium,2025-02-24,1,low
client_32,Sebastian,Scott,client32@ex.com,AB0032123,2023-12-16,active,30,male,low,2025-04-19,1,medium
client_33,Avery,Green,client33@ex.com,AB0033123,2024-02-27,active,24,female,medium,2025-03-14,1,low
client_34,David,Baker,client34@ex.com,AB0034123,2023-05-08,active,33,male,high,2025-02-07,1,low
client_35,Scarlett,Adams,client35@ex.com,AB0035123,2024-09-19,active,21,female,medium,2025-04-02,1,low
client_36,Joseph,Nelson,client36@ex.com,AB0036123,2023-08-01,active,28,male,low,2025-03-26,1,medium
client_37,Victoria,Hill,client37@ex.com,AB0037123,2024-03-13,active,25,female,medium,2025-02-19,1,low
client_38,Carter,Rivera,client38@ex.com,AB0038123,2023-10-24,active,31,male,medium,2025-04-14,1,low
client_39,Madison,Campbell,client39@ex.com,AB0039123,2024-06-05,active,26,female,low,2025-03-07,1,low
client_40,John,Mitchell,client40@ex.com,AB0040123,2023-01-17,active,34,male,medium,2025-02-28,1,medium
client_41,Luna,Carter,client41@ex.com,AB0041123,2024-10-29,active,22,female,high,2025-04-23,1,low
client_42,Owen,Roberts,client42@ex.com,AB0042123,2023-04-10,active,29,male,medium,2025-03-16,1,low
client_43,Grace,Gomez,client43@ex.com,AB0043123,2024-07-22,active,27,female,low,2025-02-09,1,low
client_44,Wyatt,Phillips,client44@ex.com,AB0044123,2023-11-03,active,32,male,medium,2025-04-04,1,medium
client_45,Chloe,Evans,client45@ex.com,AB0045123,2024-01-14,active,25,female,medium,2025-03-29,1,low
client_46,Gabriel,Turner,client46@ex.com,AB0046123,2023-03-25,active,30,male,low,2025-02-22,1,low
client_47,Lily,Torres,client47@ex.com,AB0047123,2024-08-06,active,23,female,medium,2025-04-17,1,low
client_48,Anthony,Parker,client48@ex.com,AB0048123,2023-09-17,active,31,male,high,2025-03-10,1,medium
client_49,Ella,Collins,client49@ex.com,AB0049123,2024-04-28,active,26,female,medium,2025-02-03,1,low
client_50,Isaac,Edwards,client50@ex.com,AB0050123,2023-07-09,active,34,male,low,2025-04-26,1,low
client_51,Zoe,Stewart,client51@ex.com,AB0051123,2024-11-20,active,24,female,medium,2025-03-19,1,low
client_52,Dylan,Flores,client52@ex.com,AB0052123,2023-12-02,active,28,male,medium,2025-02-12,1,medium
client_53,Hannah,Morris,client53@ex.com,AB0053123,2024-02-13,active,22,female,low,2025-04-09,1,low
client_54,Christopher,Nguyen,client54@ex.com,AB0054123,2023-05-24,active,33,male,medium,2025-03-04,1,low
client_55,Nora,Murphy,client55@ex.com,AB0055123,2024-09-05,active,27,female,high,2025-02-25,1,low
client_56,Andrew,Rivera,client56@ex.com,AB0056123,2023-08-16,active,30,male,medium,2025-04-20,1,medium
client_57,Riley,Cook,client57@ex.com,AB0057123,2024-03-28,active,25,female,low,2025-03-13,1,low
client_58,Joshua,Rogers,client58@ex.com,AB0058123,2023-10-09,active,32,male,medium,2025-02-06,1,low
client_59,Zoey,Morgan,client59@ex.com,AB0059123,2024-05-21,active,23,female,medium,2025-04-01,1,low
client_60,Jack,Peterson,client60@ex.com,AB0060123,2023-01-02,active,31,male,low,2025-03-24,1,medium
client_61,Layla,Cooper,client61@ex.com,AB0061123,2024-10-14,active,26,female,medium,2025-02-17,1,low
client_62,Ryan,Reed,client62@ex.com,AB0062123,2023-04-25,active,34,male,high,2025-04-13,1,low
client_63,Penelope,Bailey,client63@ex.com,AB0063123,2024-08-07,active,24,female,medium,2025-03-06,1,low
client_64,Nathan,Bell,client64@ex.com,AB0064123,2023-10-18,active,29,male,low,2025-02-27,1,medium
client_65,Stella,Gomez,client65@ex.com,AB0065123,2024-01-29,active,22,female,medium,2025-04-22,1,low
client_66,Samuel,Kelly,client66@ex.com,AB0066123,2023-03-10,active,33,male,medium,2025-03-15,1,low
client_67,Maya,Howard,client67@ex.com,AB0067123,2024-08-21,active,27,female,low,2025-02-08,1,low
client_68,Jason,Ward,client68@ex.com,AB0068123,2023-09-03,active,30,male,medium,2025-04-03,1,medium
client_69,Willow,Cox,client69@ex.com,AB0069123,2024-04-14,active,25,female,high,2025-03-27,1,low
client_70,Aiden,Diaz,client70@ex.com,AB0070123,2023-07-25,active,32,male,medium,2025-02-20,1,low
client_71,Elena,Richardson,client71@ex.com,AB0071123,2024-11-06,active,23,female,low,2025-04-16,1,low
client_72,Charles,Brooks,client72@ex.com,AB0072123,2023-12-17,active,31,male,medium,2025-03-09,1,medium
client_73,Audrey,Price,client73@ex.com,AB0073123,2024-02-28,active,26,female,medium,2025-02-02,1,low
client_74,Thomas,Bennett,client74@ex.com,AB0074123,2023-05-10,active,34,male,low,2025-04-27,1,low
client_75,Claire,Wood,client75@ex.com,AB0075123,2024-09-21,active,24,female,medium,2025-03-20,1,low
client_76,Aaron,Barnes,client76@ex.com,AB0076123,2023-08-02,active,29,male,high,2025-02-13,1,medium
client_77,Skylar,Ross,client77@ex.com,AB0077123,2024-03-14,active,22,female,medium,2025-04-08,1,low
client_78,Jeremiah,Henderson,client78@ex.com,AB0078123,2023-10-25,active,33,male,low,2025-03-01,1,low
client_79,Lucy,Coleman,client79@ex.com,AB0079123,2024-06-06,active,27,female,medium,2025-02-23,1,low
client_80,Adrian,Jenkins,client80@ex.com,AB0080123,2023-01-18,active,30,male,medium,2025-04-18,1,medium
client_81,Bella,Perry,client81@ex.com,AB0081123,2024-10-30,active,25,female,low,2025-03-12,1,low
client_82,Eli,Powell,client82@ex.com,AB0082123,2023-04-11,active,32,male,medium,2025-02-05,1,low
client_83,Aria,Long,client83@ex.com,AB0083123,2024-07-23,active,23,female,high,2025-04-30,1,low
client_84,Caleb,Hughes,client84@ex.com,AB0084123,2023-11-04,active,31,male,medium,2025-03-23,1,medium
client_85,Savannah,Washington,client85@ex.com,AB0085123,2024-01-15,active,26,female,low,2025-02-16,1,low
client_86,Hudson,Butler,client86@ex.com,AB0086123,2023-03-26,active,34,male,medium,2025-04-11,1,low
client_87,Aubrey,Simmons,client87@ex.com,AB0087123,2024-08-07,active,24,female,medium,2025-03-05,1,low
client_88,Ezra,Foster,client88@ex.com,AB0088123,2023-09-18,active,29,male,low,2025-02-26,1,medium
client_89,Natalie,Gonzales,client89@ex.com,AB0089123,2024-04-29,active,22,female,medium,2025-04-21,1,low
client_90,Leo,Bryant,client90@ex.com,AB0090123,2023-07-10,active,33,male,high,2025-03-14,1,low
client_91,Ruby,Alexander,client91@ex.com,AB0091123,2024-11-21,active,27,female,medium,2025-02-07,1,low
client_92,Zachary,Russell,client92@ex.com,AB0092123,2023-12-03,active,30,male,low,2025-04-02,1,medium
client_93,Gianna,Griffin,client93@ex.com,AB0093123,2024-02-14,active,25,female,medium,2025-03-26,1,low
client_94,Asher,Diaz,client94@ex.com,AB0094123,2023-05-25,active,32,male,medium,2025-02-19,1,low
client_95,Leah,Hayes,client95@ex.com,AB0095123,2024-09-06,active,23,female,low,2025-04-15,1,low
client_96,Lincoln,Myers,client96@ex.com,AB0096123,2023-08-17,active,31,male,medium,2025-03-08,1,medium
client_97,Naomi,Ford,client97@ex.com,AB0097123,2024-03-29,active,26,female,high,2025-02-01,1,low
client_98,Julian,Hamilton,client98@ex.com,AB0098123,2023-10-10,active,34,male,medium,2025-04-26,1,low
client_99,Sadie,Graham,client99@ex.com,AB0099123,2024-05-22,active,24,female,low,2025-03-19,1,low
client_100,Hunter,Sullivan,client100@ex.com,AB0100123,2023-01-03,active,29,male,medium,2025-02-12,1,medium
client_101,Violet,Wallace,client101@ex.com,AB0101123,2024-10-15,active,22,female,medium,2025-04-07,1,low
client_102,Austin,Woods,client102@ex.com,AB0102123,2023-04-26,active,33,male,low,2025-03-02,1,low
client_103,Hazel,Cole,client103@ex.com,AB0103123,2024-08-08,active,27,female,medium,2025-02-23,1,low
client_104,Jordan,West,client104@ex.com,AB0104123,2023-10-19,active,30,male,high,2025-04-18,1,medium
client_105,Valentina,Jordan,client105@ex.com,AB0105123,2024-01-30,inactive,25,female,medium,2025-03-11,1,low
client_106,Dominic,Owens,client106@ex.com,AB0106123,2023-03-11,active,32,male,low,2025-02-04,1,low
client_107,Ellie,Reynolds,client107@ex.com,AB0107123,2024-08-22,active,23,female,medium,2025-04-29,1,low
client_108,Evan,Fisher,client108@ex.com,AB0108123,2023-09-04,active,31,male,medium,2025-03-22,1,medium
client_109,Alice,Ellis,client109@ex.com,AB0109123,2024-04-15,active,26,female,low,2025-02-15,1,low
client_110,Greyson,Harrison,client110@ex.com,AB0110123,2023-07-26,active,34,male,medium,2025-04-10,1,low
client_111,Gabriella,Gibson,client111@ex.com,AB0111123,2024-11-07,active,24,female,high,2025-03-04,1,low
client_112,Miles,McDonald,client112@ex.com,AB0112123,2023-12-18,active,29,male,medium,2025-02-25,1,medium
client_113,Lillian,Cruz,client113@ex.com,AB0113123,2024-03-01,active,22,female,low,2025-04-20,1,low
client_114,Bryson,Marshall,client114@ex.com,AB0114123,2023-05-12,active,33,male,medium,2025-03-13,1,low
client_115,Autumn,Ortiz,client115@ex.com,AB0115123,2024-09-23,active,27,female,medium,2025-02-06,1,low
