client_id,first_name,last_name,email,passport_id,registration_date,status,age,gender,income_level,last_active_date,transaction_frequency
client_1,Michael,Johnson,client1@ex.com,AB000001123,2024-08-15,active,28,male,medium,2025-04-10,medium
client_2,Sofia,Garcia,client2@ex.com,AB000002123,2023-03-22,active,24,female,low,2025-03-28,high
client_3,Alexander,Petrov,client3@ex.com,AB000003123,2024-02-10,active,35,male,medium,2025-04-18,medium
client_4,Emma,Williams,client4@ex.com,AB000004123,2023-07-05,active,22,female,low,2025-03-15,medium
client_5,Wei,Zhang,client5@ex.com,AB000005123,2024-01-18,active,42,male,high,2025-04-01,high
client_6,Luisa,Fernandez,client6@ex.com,AB000006123,2024-05-30,active,33,female,medium,2025-04-22,medium
client_7,Thomas,Schmidt,client7@ex.com,AB000007123,2023-10-12,active,29,male,medium,2025-03-05,medium
client_8,Anastasia,Sokolova,client8@ex.com,AB000008123,2024-07-25,active,26,female,medium,2025-04-15,medium
client_9,James,Brown,client9@ex.com,AB000009123,2023-12-03,active,38,male,medium,2025-03-20,low
client_10,Camille,Dubois,client10@ex.com,AB000010123,2024-03-14,active,31,female,medium,2025-04-05,medium
client_11,Miguel,Lopez,client11@ex.com,AB000011123,2023-08-22,active,25,male,low,2025-03-12,high
client_12,Olga,Ivanova,client12@ex.com,AB000012123,2024-06-09,active,34,female,medium,2025-04-20,medium
client_13,David,Miller,client13@ex.com,AB000013123,2023-11-15,active,27,male,medium,2025-03-25,medium
client_14,Lin,Chen,client14@ex.com,AB000014123,2024-04-01,active,40,female,high,2025-04-10,high
client_15,Carlos,Rodriguez,client15@ex.com,AB000015123,2023-05-19,active,23,male,low,2025-02-28,high
client_16,Hannah,Müller,client16@ex.com,AB000016123,2024-09-28,active,32,female,medium,2025-04-25,medium
client_17,Dmitri,Kuznetsov,client17@ex.com,AB000017123,2023-02-14,active,45,male,medium,2025-03-08,low
client_18,Sarah,Davis,client18@ex.com,AB000018123,2024-01-30,active,29,female,medium,2025-04-12,medium
client_19,Jing,Li,client19@ex.com,AB000019123,2023-10-05,active,33,male,medium,2025-03-22,medium
client_20,Elena,Martinez,client20@ex.com,AB000020123,2024-05-17,active,26,female,low,2025-04-15,high
client_21,Markus,Weber,client21@ex.com,AB000021123,2023-12-20,active,36,male,medium,2025-03-18,medium
client_22,Natalia,Volkova,client22@ex.com,AB000022123,2024-03-05,active,30,female,medium,2025-04-08,medium
client_23,William,Taylor,client23@ex.com,AB000023123,2023-07-11,active,41,male,medium,2025-03-01,low
client_24,Sophie,Laurent,client24@ex.com,AB000024123,2024-10-22,active,24,female,low,2025-04-28,high
client_25,Hector,Gomez,client25@ex.com,AB000025123,2023-04-28,active,32,male,medium,2025-02-15,medium
client_26,Ekaterina,Smirnova,client26@ex.com,AB000026123,2024-08-03,active,27,female,medium,2025-04-20,medium
client_27,Daniel,Wilson,client27@ex.com,AB000027123,2023-09-14,active,38,male,high,2025-03-15,high
client_28,Mei,Wang,client28@ex.com,AB000028123,2024-02-25,active,23,female,low,2025-04-05,medium
client_29,Antonio,Diaz,client29@ex.com,AB000029123,2023-06-30,active,29,male,medium,2025-03-10,medium
client_30,Julia,Fischer,client30@ex.com,AB000030123,2024-11-08,active,34,female,medium,2025-04-22,medium
client_31,Sergei,Popov,client31@ex.com,AB000031123,2023-01-15,active,43,male,medium,2025-02-20,low
client_32,Olivia,Anderson,client32@ex.com,AB000032123,2024-04-20,active,25,female,low,2025-04-15,high
client_33,Pierre,Moreau,client33@ex.com,AB000033123,2023-08-05,active,37,male,high,2025-03-25,high
client_34,Isabella,Torres,client34@ex.com,AB000034123,2024-07-12,active,30,female,medium,2025-04-18,medium
client_35,Yuri,Sokolov,client35@ex.com,AB000035123,2023-11-27,active,28,male,medium,2025-03-05,medium
client_36,Emily,Thomas,client36@ex.com,AB000036123,2024-01-05,active,26,female,medium,2025-04-10,medium
client_37,Jiahao,Wu,client37@ex.com,AB000037123,2023-05-10,active,39,male,medium,2025-02-28,low
client_38,Ana,Sanchez,client38@ex.com,AB000038123,2024-09-18,active,24,female,low,2025-04-25,high
client_39,Lukas,Hoffmann,client39@ex.com,AB000039123,2023-03-01,active,31,male,medium,2025-03-15,medium
client_40,Tatiana,Morozova,client40@ex.com,AB000040123,2024-06-22,active,35,female,medium,2025-04-12,medium
client_41,Robert,Clark,client41@ex.com,AB000041123,2023-10-30,active,44,male,high,2025-03-20,high
client_42,Marie,Petit,client42@ex.com,AB000042123,2024-02-15,active,27,female,medium,2025-04-05,medium
client_43,Diego,Hernandez,client43@ex.com,AB000043123,2023-07-20,active,22,male,low,2025-03-10,high
client_44,Anya,Lebedeva,client44@ex.com,AB000044123,2024-05-05,active,33,female,medium,2025-04-18,medium
client_45,George,White,client45@ex.com,AB000045123,2023-12-12,active,30,male,medium,2025-03-25,medium
client_46,Xiu,Liu,client46@ex.com,AB000046123,2024-10-08,active,36,female,medium,2025-04-28,medium
client_47,Javier,Ruiz,client47@ex.com,AB000047123,2023-04-15,active,25,male,low,2025-02-15,high
client_48,Lena,Wagner,client48@ex.com,AB000048123,2024-08-27,active,31,female,medium,2025-04-20,medium
client_49,Pavel,Orlov,client49@ex.com,AB000049123,2023-09-05,active,40,male,medium,2025-03-12,low
client_50,Grace,Martin,client50@ex.com,AB000050123,2024-03-22,active,28,female,medium,2025-04-08,medium
client_51,Antoine,Leroy,client51@ex.com,AB000051123,2023-06-18,active,34,male,medium,2025-03-01,medium
client_52,Lucia,Morales,client52@ex.com,AB000052123,2024-11-30,active,26,female,low,2025-04-30,high
client_53,Dimitri,Volkov,client53@ex.com,AB000053123,2023-01-25,active,42,male,high,2025-02-20,high
client_54,Sophia,Harris,client54@ex.com,AB000054123,2024-04-10,active,29,female,medium,2025-04-15,medium
client_55,Yong,Zhang,client55@ex.com,AB000055123,2023-08-15,active,37,male,medium,2025-03-22,medium
client_56,Carmen,Jimenez,client56@ex.com,AB000056123,2024-07-02,active,23,female,low,2025-04-10,high
client_57,Felix,Becker,client57@ex.com,AB000057123,2023-11-10,active,32,male,medium,2025-03-05,medium
client_58,Irina,Petrova,client58@ex.com,AB000058123,2024-01-20,active,31,female,medium,2025-04-12,medium
client_59,Benjamin,Lewis,client59@ex.com,AB000059123,2023-05-28,active,45,male,high,2025-02-28,high
client_60,Amélie,Rousseau,client60@ex.com,AB000060123,2024-09-05,active,27,female,medium,2025-04-25,medium
client_61,Marco,Rossi,client61@ex.com,AB000061123,2023-02-18,active,29,male,medium,2025-03-15,medium
client_62,Svetlana,Ivanova,client62@ex.com,AB000062123,2024-06-15,active,34,female,medium,2025-04-18,medium
client_63,Andrew,Walker,client63@ex.com,AB000063123,2023-10-22,active,38,male,medium,2025-03-20,low
client_64,Jiao,Chen,client64@ex.com,AB000064123,2024-02-08,active,25,female,low,2025-04-05,high
client_65,Alejandro,Lopez,client65@ex.com,AB000065123,2023-07-15,active,33,male,medium,2025-03-10,medium
client_66,Katharina,Schulz,client66@ex.com,AB000066123,2024-05-25,active,30,female,medium,2025-04-22,medium
client_67,Mikhail,Smirnov,client67@ex.com,AB000067123,2023-12-05,active,41,male,medium,2025-03-25,low
client_68,Lily,Robinson,client68@ex.com,AB000068123,2024-10-15,active,24,female,low,2025-04-28,high
client_69,Jean,Bernard,client69@ex.com,AB000069123,2023-04-08,active,36,male,high,2025-02-15,high
client_70,Elena,Gonzalez,client70@ex.com,AB000070123,2024-08-20,active,28,female,medium,2025-04-20,medium
client_71,Viktor,Kozlov,client71@ex.com,AB000071123,2023-09-28,active,39,male,medium,2025-03-18,medium
client_72,Amanda,Hill,client72@ex.com,AB000072123,2024-03-12,active,26,female,medium,2025-04-08,medium
client_73,Hong,Wu,client73@ex.com,AB000073123,2023-06-05,active,43,male,high,2025-03-01,high
client_74,Valeria,Mendoza,client74@ex.com,AB000074123,2024-11-22,active,22,female,low,2025-04-30,high
client_75,Niklas,Schneider,client75@ex.com,AB000075123,2023-01-10,active,31,male,medium,2025-02-10,medium
client_76,Anastasia,Kuznetsova,client76@ex.com,AB000076123,2024-04-30,active,29,female,medium,2025-04-15,medium
client_77,Christopher,Young,client77@ex.com,AB000077123,2023-08-25,active,35,male,medium,2025-03-22,medium
client_78,Sophie,Martin,client78@ex.com,AB000078123,2024-07-08,active,27,female,medium,2025-04-18,medium
client_79,Rafael,Santos,client79@ex.com,AB000079123,2023-11-15,active,24,male,low,2025-03-08,high
client_80,Anna,Müller,client80@ex.com,AB000080123,2024-01-28,active,32,female,medium,2025-04-10,medium
client_81,Dmitry,Novikov,client81@ex.com,AB000081123,2023-05-01,active,40,male,medium,2025-02-25,low
client_82,Chloe,Adams,client82@ex.com,AB000082123,2024-09-12,active,26,female,low,2025-04-25,high
client_83,Philippe,Dupont,client83@ex.com,AB000083123,2023-03-18,active,38,male,high,2025-03-15,high
client_84,Gabriela,Perez,client84@ex.com,AB000084123,2024-06-05,active,30,female,medium,2025-04-12,medium
client_85,Alexei,Fedorov,client85@ex.com,AB000085123,2023-10-10,active,35,male,medium,2025-03-20,medium
client_86,Natalie,King,client86@ex.com,AB000086123,2024-02-20,active,28,female,medium,2025-04-05,medium
client_87,Li,Wang,client87@ex.com,AB000087123,2023-07-25,active,42,male,high,2025-03-10,high
client_88,Isabel,Moreno,client88@ex.com,AB000088123,2024-05-15,active,25,female,low,2025-04-18,high
client_89,Tobias,Wolf,client89@ex.com,AB000089123,2023-12-20,active,33,male,medium,2025-03-25,medium
client_90,Olga,Sokolova,client90@ex.com,AB000090123,2024-10-01,active,31,female,medium,2025-04-28,medium
client_91,Matthew,Scott,client91@ex.com,AB000091123,2023-04-22,active,39,male,medium,2025-02-18,low
client_92,Camille,Lefebvre,client92@ex.com,AB000092123,2024-08-12,active,27,female,medium,2025-04-20,medium
client_93,Sergio,Martinez,client93@ex.com,AB000093123,2023-09-15,active,23,male,low,2025-03-12,high
client_94,Ekaterina,Orlova,client94@ex.com,AB000094123,2024-03-28,active,34,female,medium,2025-04-08,medium
client_95,Ryan,Cooper,client95@ex.com,AB000095123,2023-06-10,active,36,male,medium,2025-03-01,medium
client_96,Jing,Zhou,client96@ex.com,AB000096123,2024-11-05,active,29,female,medium,2025-04-30,medium
client_97,Matteo,Ricci,client97@ex.com,AB000097123,2023-01-30,active,44,male,high,2025-02-20,high
client_98,Katja,Schmidt,client98@ex.com,AB000098123,2024-04-15,active,26,female,low,2025-04-15,high
client_99,Nikolai,Vasiliev,client99@ex.com,AB000099123,2023-08-05,active,37,male,medium,2025-03-22,medium
client_100,Isabella,Wright,client100@ex.com,AB000100123,2024-07-18,active,30,female,medium,2025-04-18,medium
client_101,François,Dubois,client101@ex.com,AB000101123,2023-11-22,active,28,male,medium,2025-03-08,medium
client_102,Lucia,Fernandez,client102@ex.com,AB000102123,2024-01-10,active,25,female,low,2025-04-05,high
client_103,Takashi,Yamamoto,client103@ex.com,AB000103123,2023-05-15,active,41,male,high,2025-02-28,high
client_104,Sophia,Bauer,client104@ex.com,AB000104123,2024-09-25,active,32,female,medium,2025-04-25,medium
client_105,Ivan,Mikhailov,client105@ex.com,AB000105123,2023-03-08,active,35,male,medium,2025-03-15,medium
client_106,Zoe,Phillips,client106@ex.com,AB000106123,2024-06-28,active,27,female,medium,2025-04-18,medium
client_107,Carlos,Silva,client107@ex.com,AB000107123,2023-10-05,active,24,male,low,2025-03-20,high
client_108,Min,Zhang,client108@ex.com,AB000108123,2024-02-12,active,38,female,medium,2025-04-05,medium
client_109,Lucas,Berger,client109@ex.com,AB000109123,2023-07-30,active,33,male,medium,2025-03-10,medium
client_110,Anastasia,Popova,client110@ex.com,AB000110123,2024-05-05,active,29,female,medium,2025-04-22,medium
client_111,William,Baker,client111@ex.com,AB000111123,2023-12-15,active,45,male,high,2025-03-25,high
client_112,Audrey,Roux,client112@ex.com,AB000112123,2024-10-22,active,26,female,low,2025-04-28,high
client_113,Miguel,Alvarez,client113@ex.com,AB000113123,2023-04-01,active,31,male,medium,2025-02-15,medium
client_114,Lena,Hoffmann,client114@ex.com,AB000114123,2024-08-08,active,28,female,medium,2025-04-20,medium
client_115,Andrei,Lebedev,client115@ex.com,AB000115123,2023-09-20,active,36,male,medium,2025-03-18,medium
client_116,Charlotte,Nelson,client116@ex.com,AB000116123,2024-03-01,active,25,female,low,2025-04-08,high
client_117,Hiroshi,Tanaka,client117@ex.com,AB000117123,2023-06-25,active,40,male,high,2025-03-01,high
client_118,Elena,Rodriguez,client118@ex.com,AB000118123,2024-11-15,active,32,female,medium,2025-04-30,medium
client_119,Jan,Keller,client119@ex.com,AB000119123,2023-01-05,active,29,male,medium,2025-02-10,medium
client_120,Natalia,Kozlova,client120@ex.com,AB000120123,2024-04-22,active,34,female,medium,2025-04-15,medium
client_121,Jacob,Morgan,client121@ex.com,AB000121123,2023-08-12,active,27,male,medium,2025-03-22,medium
client_122,Mei,Liu,client122@ex.com,AB000122123,2024-07-28,active,23,female,low,2025-04-18,high
client_123,Henri,Lambert,client123@ex.com,AB000123123,2023-11-05,active,37,male,medium,2025-03-05,medium
client_124,Alicia,Torres,client124@ex.com,AB000124123,2024-01-18,active,31,female,medium,2025-04-10,medium
client_125,Sergey,Ivanov,client125@ex.com,AB000125123,2023-05-22,active,43,male,high,2025-02-28,high
client_126,Emma,Stewart,client126@ex.com,AB000126123,2024-09-01,active,26,female,low,2025-04-25,high
client_127,Marco,Bianchi,client127@ex.com,AB000127123,2023-02-28,active,35,male,medium,2025-03-15,medium
client_128,Lara,Weber,client128@ex.com,AB000128123,2024-06-10,active,30,female,medium,2025-04-12,medium
client_129,Alexei,Petrov,client129@ex.com,AB000129123,2023-10-15,active,38,male,medium,2025-03-20,medium
client_130,Victoria,Campbell,client130@ex.com,AB000130123,2024-02-28,active,24,female,low,2025-04-05,high
